;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ayam 1;Ayam 2;Ayam 3;Ayam 4;SAYUR 1;SAYUR 2;IKAN 1;Ikan 2;Ikan 3;Ikan 4;MANGGA;Sapi 1;Nasi goreng;Mie;Ubi;Bakso;Kambing;Babi;Gulai;Soto;Kue kuean;Roti;Tempe;Tahu;Sop 1;Sop 2;Jagung;Telur 1;Telur 2;Bebek;Kelapa;Sate;Oncom;Kentang;Ayam Mentah;Sapi Mentah;Ikan Mentah;Buah;Beras;Bumbu;Kacang 1;Kacang 2;Teh
23-48;53-15;68-1472;77-52;69-447;11-1098;21-241;67-494;67-562;68-456;03-993;23-1417;73-1072;27-1035;11-1573;27-1035;55-1359;60-71;54-454;43-1395;11-907;32-1224;18-1489;11-1141;55-1350;57-1353;55-1142;14-1016;56-1371;37-1477;11-78;44-1295;11-1089;13-814;01-42;04-1417;02-492;03-188;04-153;10-165;02-532;06-700;04-1460
23-49;53-46;69-49;77-53;69-775;55-1309;35-241;67-495;67-563;68-457;03-994;26-1373;73-1073;27-1036;13-97;59-87;58-1294;60-72;55-466;43-1396;11-908;32-1225;37-1259;39-878;55-1359;57-1363;55-1365;37-1470;57-1371;46-111;11-79;44-1298;11-1090;13-815;01-45;06-3;02-493;03-189;04-154;10-169;03-690;06-701;04-1461
23-50;53-47;69-50;77-54;69-1309;55-1311;55-609;67-496;67-564;68-458;03-995;46-3;74-1072;27-1039;13-98;59-88;58-1358;60-73;56-452;45-1375;11-909;32-1226;37-1489;44-1428;55-1365;57-1364;56-230;37-1477;64-1469;46-113;13-97;58-1292;11-1091;13-816;01-64;06-17;02-498;03-190;04-155;10-396;04-219;06-705;06-1460
23-54;53-48;69-51;77-55;69-1310;55-1313;56-609;67-497;67-565;68-493;03-996;47-3;75-1072;27-1042;13-1572;59-1035;58-1359;60-74;57-466;45-1376;11-914;35-1223;37-1490;65-1056;55-1366;57-1370;56-1142;43-1131;65-1466;46-1473;13-98;58-1294;11-1092;13-831;01-371;06-18;02-500;03-191;04-156;10-397;04-294;06-721;06-1461
23-55;53-49;69-52;77-56;69-1311;55-1314;64-457;67-498;67-566;68-494;03-997;54-1217;75-1073;27-1043;17-911;74-1035;69-459;60-267;57-467;45-1377;11-916;35-1224;44-1485;65-1429;55-1367;57-1371;56-1493;46-1473;65-1469;46-1474;17-915;67-1293;11-1093;13-1518;01-1164;06-265;02-502;03-192;04-1448;10-398;04-295;06-729;07-1459
23-56;53-50;69-54;77-57;69-1312;55-1319;64-458;67-499;67-567;68-495;03-998;54-1218;;37-1039;18-1572;;70-459;60-268;64-457;45-1378;11-930;35-1225;55-1488;65-1430;55-1370;58-1351;57-230;46-1474;65-1470;46-1475;21-78;69-1291;11-1094;23-815;01-1307;06-1275;02-507;03-193;05-136;10-448;04-297;06-730;07-1460
28-48;53-54;69-55;77-58;69-1315;55-1321;64-483;67-500;67-568;68-505;03-999;54-1599;;59-1035;21-1571;;93-271;60-442;64-458;45-1379;11-931;35-1226;55-1498;66-1429;56-1320;58-1354;57-1493;46-1475;65-1472;46-1476;21-79;69-1296;11-1095;23-1518;01-1471;06-1278;02-509;03-194;05-138;10-449;04-693;06-737;07-1461
28-49;53-55;69-57;77-59;69-1317;56-1311;64-495;67-501;67-569;68-506;03-1000;55-1062;;59-1043;56-359;;93-768;60-685;65-457;45-1380;15-924;35-1227;55-1499;66-1430;56-1350;58-1355;68-638;46-1476;67-598;46-1477;55-1321;70-1291;11-1096;28-815;01-1472;06-1279;02-511;03-195;05-139;10-450;04-694;06-738;23-1459
28-50;53-64;69-58;77-60;69-1321;56-1312;64-501;67-502;67-570;68-507;03-1001;56-1284;;62-1036;57-357;;;60-953;67-455;45-1381;15-925;35-1228;56-1493;67-595;56-1352;58-1356;69-1075;46-1477;67-1470;46-1478;56-1321;70-1297;11-1097;28-1518;03-1164;06-1280;02-512;03-196;05-140;10-451;04-695;06-740;24-1459
28-54;54-15;69-67;77-61;69-1502;56-1316;64-502;67-503;67-571;68-521;03-1002;56-1372;;62-1039;67-1205;;;60-959;67-456;45-1382;16-923;36-1224;57-1493;68-595;56-1353;58-1357;69-1570;46-1478;67-1472;46-1479;69-1321;90-1295;11-1098;37-1143;04-829;06-1281;02-513;03-197;05-141;10-640;04-696;06-742;25-1459
