No.;;Fast_Food;Sumber;Tipe;Jenis_Olahan;Label Daging;Label Sayur;Label Buah;Label Kacang;Bumbu;Singkong;Beras;Mie;Pengganti Nasi;Makanan Pokok;Label Snack;Lauk;Mentah;Label Minuman;Label Goreng;Rebus;Kukus;Panggang;Label Seafood;Label Tepung;Label Kuah;Label Pedas;Daging Ayam;Daging Kambing;Daging Babi;Daging Sapi;Ikan;Gambar
1;Abon;Tidak;Daging Sapi;;;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;https://img-cdn.medkomtek.com/PbrY9X3ignQ8sVuj_LU9UXljyew=/0x0/smart/filters:quality(75):strip_icc():format(webp)/article/7g8ceHGDNMuttlBcXEl8d/original/099726800_1605161502-Mana-yang-Lebih-Sehat-Abon-Sapi-atau-Abon-Ayam-shutterstock_1361446550.jpg
2;Abon haruwan;Tidak;Daging Sapi;;;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;https://img-global.cpcdn.com/recipes/cbf330fbd1ba6316/1200x630cq70/photo.jpg
3;Abon sapi;Tidak;Daging Sapi;;;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;https://img.kurio.network/bBTENwW0CA40Pmyk26Er7mZZ2w0=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/22/06/20/715f6dd7-c62c-421f-be49-85c2fb8b36b4.jpe
4;Acar kuning;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://img-global.cpcdn.com/recipes/23fc7d563bbab000/1200x630cq70/photo.jpg
5;Agar-agar;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://res.cloudinary.com/dk0z4ums3/image/upload/v1644389489/attached_image/manfaat-agar-agar-untuk-tubuh.jpg
6;Akar tonjong segar;;;;;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://images.tokopedia.net/img/cache/200-square/product-1/2018/8/11/3052608/3052608_12e6762a-1a95-450b-8a7c-347a26dc3201_450_450.jpg
7;Aletoge segar;;;;;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://nilaigizi.com/assets/images/produk/produk_1577340236.jpg
8;Alpokat;;;;;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.static-src.com/wcsstore/Indraprastha/images/catalog/medium//92/MTA-42295500/simply_fresh_alpukat_mentega_besar_-3-4_pcs-kg-_full01_c4gek0qk.jpg
9;Alpukat;Ya;Buah;Makanan Ringan;Mentah;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.static-src.com/wcsstore/Indraprastha/images/catalog/medium//92/MTA-42295500/simply_fresh_alpukat_mentega_besar_-3-4_pcs-kg-_full01_c4gek0qk.jpg
10;Alpukat segar;;;;;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://katakabar.com/assets/images/upload/news/medium_news_1594438184.jpeg
11;Ampas kacang hijau;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://images.tokopedia.net/img/cache/215-square/shops-1/2016/10/16/5997149/5997149_fb399db6-c767-4ef0-ba2b-d25bc046859e.jpg
12;Ampas Tahu;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://palpres.disway.id/upload/9e9c1ba592cac7270de5e48889a33523.jpeg
13;Ampas tahu kukus;;;;;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;https://cdns.diadona.id/diadona.id/resized/640x320/news/2020/02/26/5346/manfaat-ampas-tahu-yang-nggak-boleh-disepelekan-orang-jepang-aja-doyan-masa-kamu-ogah-ogahan-200226f.jpg
14;Ampas tahu mentah;;;;;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://cdn-image.hipwee.com/wp-content/uploads/2021/03/hipwee-FotoJet-9-750x422.jpg
15;Ampela ayam goreng;Ya;Daging Ayam;Makanan Berat;Goreng;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;https://img-global.cpcdn.com/recipes/fd995b30180d2c71/400x400cq70/photo.jpg
16;Anak sapi daging gemuk segar;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;https://png.pngtree.com/png-clipart/20220124/ourmid/pngtree-a-plate-of-delicious-fat-cow-free-elements-png-image_4252411.png
17;Anak sapi daging kurus segar;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;https://asset.kompas.com/crops/BzqLdMzV0nYuuT_-vqxhGoDU0ag=/0x0:1000x667/780x390/data/photo/2020/11/28/5fc241d817d91.jpg
18;Anak sapi daging sedang segar;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;https://koran-jakarta.com/images/article/tips-memilih-daging-sapi-segar-dan-berkualitas-baik-untuk-dikonsumsi-210409135933.jpg
19;Andaliman segar;;;;;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://cf.shopee.co.id/file/3c033b2480e951e2634909817e417218
20;Andewi;;;;;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.satuharapan.com/uploads/cache/news_77440_1518185146.jpg
21;Anggur;;;;;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://res.cloudinary.com/dk0z4ums3/image/upload/v1693464270/attached_image/8-manfaat-anggur-merah-untuk-kesehatan.jpg
22;Anggur hutan;Ya;Buah;Makanan Ringan;Mentah;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://asset-2.tstatic.net/jateng/foto/bank/images/anggur-liar-ampelocissus-martini-merupakan-salah-satu-buah-liar-yang-sering-ditemukan-di-hutan.jpg
23;Anggur hutan segar;;;;;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://cf.shopee.co.id/file/ed7f26c6de5f13ec39e9931263ade6b9
24;Angsa;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://cdn.idntimes.com/content-images/community/2020/06/images-11-7778c46373d99fb101fe76ba287b7cca.jpeg
25;Anyang sayur;;;;;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://static.republika.co.id/uploads/images/inpicture_slide/anyang-_180520222511-425.jpg
26;Apel;Tidak;Buah;Makanan Ringan;Mentah;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://ik.imagekit.io/waters2021/sehataqua/uploads/20220530094106_original.webp?tr=f-auto
27;Apel malang segar;;;;;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://pasarsegar.co.id/wp-content/uploads/2020/09/name-63-1.jpg
28;Apel merah;;;;;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://ik.imagekit.io/waters2021/sehataqua/uploads/20220530094106_original.webp?tr=f-auto
29;Arbei;;;;;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://asset.kompas.com/crops/NoCuCvNGfQG6_Ct04e7Vjcabjv4=/204x0:885x454/1200x800/data/photo/2020/06/25/5ef44bb002503.jpg
30;Arem-arem;;;;;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;https://asset.kompas.com/crops/aST67m2PXbu3r7Z2rX9Nu0W2vuE=/0x0:1000x667/750x500/data/photo/2020/12/12/5fd458b041251.jpg
31;Ares sayur;;;;;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;https://asset-a.grid.id/crop/0x0:0x0/x/photo/2018/07/10/1764115767.jpg
32;Arrowroot segar;;;;;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://1.bp.blogspot.com/-frPXLhHsX1o/YGH-vVXAdtI/AAAAAAAAAQc/rFFQBIqzF-sEPYUiGLOUyb-KetyM7haWACLcBGAsYHQ/s2048/IMG20210227100704.jpg
33;Arsik;;;;;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;https://asset.kompas.com/crops/EYTb1-_PgO9XK19dmqHlAIscvZM=/32x9:1000x654/750x500/data/photo/2022/12/17/639d9405c67aa.jpg
34;Arwan sirsir;;;;;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://scontent.fcgk35-1.fna.fbcdn.net/v/t1.6435-9/121695429_676597869941401_1458702638921645964_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=a26aad&_nc_ohc=__IwAVKho7AAX9vwknv&_nc_ht=scontent.fcgk35-1.fna&oh=00_AfBzshz2zrHYSwZvSOBel1XuorFB4ySKktNdgOj7dB8Jng&oe=649DFFD5
35;Asam kandis segar;;;;;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://assets.ladiestory.id/gallery/16768092331084058551-asam-kandis.jpg
36;Asam masak di pohon;;;;;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://images.tokopedia.net/img/cache/700/VqbcmM/2020/8/26/6b6fe8d2-91ea-40a2-bd1d-53a147b957c1.png
37;Asam payak segar;;;;;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://nilaigizi.com/assets/images/produk/produk_1537342320.jpg
38;Asan kandis kering;;;;;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://nilaigizi.com/assets/images/produk/produk_1537342200.jpg
39;Asinan;;;;;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;https://ik.imagekit.io/dcjlghyytp1/2020/05/susie.agung_.jpg?tr=f-auto
40;Asinan Bogor;Tidak;Sayur;Makanan Ringan;Mentah;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;https://img-global.cpcdn.com/recipes/b14a9db83e8794d6/1200x630cq70/photo.jpg
41;Asinan Bogor sayuran;;;;;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;https://www.piknikdong.com/wp-content/uploads/2021/04/Resep-Asinan-Sayur-Bogor-Sederhana.jpg
42;Ayam;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;https://images.ctfassets.net/1cj2ge3ast5f/4ETq9ybsnjCsGaailYLOGH/cf7db5b91c85f4ea1e309905a9679809/Ayam_Utuh.jpeg
43;Ayam goreng Kentuckysayap;;;;Goreng;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;https://img-global.cpcdn.com/recipes/2ecb088a495ef73a/680x482cq70/ayam-goreng-kentucky-foto-resep-utama.jpg
44;Ayam ampela goreng;;;;Goreng;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;https://cdn1-production-images-kly.akamaized.net/MldE3BInsLHr9JgPKFlsYtmbV-E=/0x344:5472x3428/469x260/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3142898/original/027275800_1591175314-shutterstock_188934800.jpg
45;"Ayam bakar bumbu
kuning";;;;;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;https://img-global.cpcdn.com/recipes/47992e6aa656f1b6/1200x630cq70/photo.jpg
46;Ayam dideh/darah segar;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;https://pelopor.id/wp-content/uploads/2022/03/WhatsApp-Image-2022-02-05-at-11.46.55.jpeg
47;Ayam Goreng;Tidak;Daging Ayam;Makanan Berat;Goreng;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;https://www.astronauts.id/blog/wp-content/uploads/2023/04/Resep-Ayam-Goreng-Serundeng-ala-Rumahan-yang-Nggak-Kalah-Enak-dari-Restoran.jpg
48;Ayam goreng church texa sayap;;;;Goreng;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;https://e7.pngegg.com/pngimages/66/902/png-clipart-church-s-chicken-bakery-chicken-nugget-fried-chicken-texas-chicken-church-s-chicken-bakery-thumbnail.png
49;Ayam goreng church texas dada;;;;Goreng;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;https://i0.wp.com/harga.web.id/wp-content/uploads/Harga-Texas-Chicken-Reguler-dan-Promo.jpg?fit=680%2C300&ssl=1
50;Ayam goreng kalasan;Tidak;Daging Ayam;Makanan Berat;Goreng;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;https://img-global.cpcdn.com/recipes/ff70ae9c035a4aba/1200x630cq70/photo.jpg
51;Ayam goreng kalasan paha;;;;Goreng;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;https://thumb.viva.id/intipseleb/1265x711/2022/10/21/6352aa183c0c1-resep-ayam-goreng-kalasan.jpg
52;Ayam goreng kentucky dada;;;;Goreng;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;https://awsimages.detik.net.id/community/media/visual/2021/07/07/kirim-pesan-unik-kfc-2_43.jpeg?w=1200
53;Ayam goreng Kentucky paha;;;;Goreng;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;https://img-global.cpcdn.com/recipes/d61db7c7021bcd27/680x482cq70/paha-kentucky-yummy-foto-resep-utama.jpg
54;Ayam goreng mbok berek dada;;;;Goreng;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;https://img-global.cpcdn.com/recipes/d15c8abab4246c58/680x482cq70/ayam-goreng-mbok-berek-foto-resep-utama.jpg
55;Ayam goreng paha;;;;Goreng;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;https://cdn1-production-images-kly.akamaized.net/EwEm3hoNsTm-YZSonSqX2IlcAaY=/1200x1200/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/2938630/original/066858200_1571039590-shutterstock_153914045.jpg
56;Ayam goreng pasundan dada;;;;Goreng;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/6-C2DTTVLGUBJ3T6-C2DTTXDVTNJXLA/detail/menueditor_item_b01be5494e6b4600867dbcbc0dcd1ed2_1607529952400513906.webp
57;Ayam goreng pasundan paha;;;;Goreng;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/IDITE2021041504584013744/detail/menueditor_item_de1f8bfb500e483d903ccb2e25a29a7d_1618462649639007677.webp
58;Ayam goreng pioneer dada;;;;Goreng;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/IDITE20210726121341017693/detail/menueditor_item_428cb0ea19e44146a00e1cfbef85faae_1627524568218570621.webp
59;Ayam goreng sukabumi dada;;;;Goreng;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;https://i0.wp.com/i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/d5baa5ea-bad6-4cc6-b6fe-a0c4a9a86979_Go-Biz_20211222_160332.jpeg
